Description,Nps,Improvement
Reworked,20132245,0.0%
Add unit tests,22195171,+10.2%
Cache Square enum values,61612865,+177.6%
Cache Piece and PieceType enum values,70973199,+15.2%
Custom piece query order,71208730,+0.3%
Optimise dead position,72606998,+2.0%
Fix capture test,79734045,+9.8%
Square piece mailbox for piece lookups,75481639,-5.3%
Unroll attack loops,82048795,+8.7%
Castling rights update lookup,79646309,-2.9%
King attacks uses map,81729701,+2.6%
Pre-compute king and knight attacks,90539093,+10.8%
Add promotion popup to GUI,88382190,-1.5%
Magic bitboards,99328808,+12.4%
IsSingle bitboard method,105508741,+6.2%
Separate FEN from chess state classes,100523654,-4.7%
Attack API takes square,104535513,+4.0%
Inline move gen,101037791,-3.3%
Fully inline move gen,104730690,+3.7%
Remove Square enum,116556411,+11.3%
Refactor,113845145,-2.3%
Slide attack analysis uses attack lookups,124499813,+9.4%
Knights use lookups for attacks,132736053,+6.6%
Remove PieceType enum for byte,145414935,+9.6%
Squares now bytes,140720025,-3.2%
Remove Colour enum,142482210,+1.3%
